,class1,class2,path
0,1,1,[1]
1,1,43,"[1, 43]"
2,1,44,"[1, 43, 44]"
3,1,79,"[1, 43, 79]"
4,1,2,"[1, 43, 44, 2]"
5,1,25,"[1, 43, 44, 25]"
6,1,45,"[1, 43, 44, 45]"
7,1,24,"[1, 43, 79, 24]"
8,1,78,"[1, 43, 79, 78]"
9,1,3,"[1, 43, 44, 45, 3]"
10,1,26,"[1, 43, 44, 45, 26]"
11,1,46,"[1, 43, 44, 45, 46]"
12,1,22,"[1, 43, 79, 78, 22]"
13,1,23,"[1, 43, 79, 78, 23]"
14,1,34,"[1, 43, 79, 78, 34]"
15,1,77,"[1, 43, 79, 78, 77]"
16,1,4,"[1, 43, 44, 45, 46, 4]"
17,1,27,"[1, 43, 44, 45, 46, 27]"
18,1,47,"[1, 43, 44, 45, 46, 47]"
19,1,52,"[1, 43, 79, 78, 34, 52]"
20,1,21,"[1, 43, 79, 78, 77, 21]"
21,1,76,"[1, 43, 79, 78, 77, 76]"
22,1,5,"[1, 43, 44, 45, 46, 47, 5]"
23,1,28,"[1, 43, 44, 45, 46, 47, 28]"
24,1,48,"[1, 43, 44, 45, 46, 47, 48]"
25,1,51,"[1, 43, 79, 78, 34, 52, 51]"
26,1,75,"[1, 43, 79, 78, 77, 76, 75]"
27,1,6,"[1, 43, 44, 45, 46, 47, 48, 6]"
28,1,7,"[1, 43, 44, 45, 46, 47, 48, 7]"
29,1,49,"[1, 43, 44, 45, 46, 47, 48, 49]"
30,1,50,"[1, 43, 79, 78, 34, 52, 51, 50]"
31,1,53,"[1, 43, 79, 78, 34, 52, 51, 53]"
32,1,74,"[1, 43, 79, 78, 77, 76, 75, 74]"
33,1,8,"[1, 43, 44, 45, 46, 47, 48, 49, 8]"
34,1,9,"[1, 43, 44, 45, 46, 47, 48, 49, 9]"
35,1,29,"[1, 43, 44, 45, 46, 47, 48, 49, 29]"
36,1,30,"[1, 43, 79, 78, 34, 52, 51, 53, 30]"
37,1,54,"[1, 43, 79, 78, 34, 52, 51, 53, 54]"
